company_id,url_type,url,mode
Axa,ニュースリリース,https://www.axa.co.jp/news/2026,True
Axa,重要なお知らせ,https://www.axa.co.jp/info/2026,True
Axa,ニュースリリース,https://www.axa.co.jp/news/2025,False
Axa,ニュースリリース,https://www.axa.co.jp/news/2024,False
Axa,ニュースリリース,https://www.axa.co.jp/news/2023,False
Axa,ニュースリリース,https://www.axa.co.jp/news/2022,False
Axa,ニュースリリース,https://www.axa.co.jp/news/2021,False
Axa,重要なお知らせ,https://www.axa.co.jp/info/2025,False
Axa,重要なお知らせ,https://www.axa.co.jp/info/2024,False
Axa,重要なお知らせ,https://www.axa.co.jp/info/2023,False
Axa,重要なお知らせ,https://www.axa.co.jp/info/2022,False
Axa,重要なお知らせ,https://www.axa.co.jp/info/2021,False
Fwdlife,ニュースリリース,https://www.fwdlife.co.jp/press,True
Aflac,ニュースリリース,https://www.aflac.co.jp/corp/profile/news/2026,True
Aflac,お知らせ,https://www.aflac.co.jp/info,True
Aflac,ニュースリリース,https://www.aflac.co.jp/corp/profile/news/2025,False
Aflac,ニュースリリース,https://www.aflac.co.jp/corp/profile/news/2024,False
Aflac,ニュースリリース,https://www.aflac.co.jp/corp/profile/news/2023,False
Aflac,ニュースリリース,https://www.aflac.co.jp/corp/profile/news/2022,False
Aflac,ニュースリリース,https://www.aflac.co.jp/corp/profile/news/2021,False
